species,scientific_name,family,score,date_time,location,image_path
Butterfly-Common Mime,Papilio clytia,Papilionidae,69.56666707992554,2025-05-15 12:58:57,"Manila, Philippines",494738341_24479504178316707_2351858154636768466_n.jpg
Butterfly-Common Lime,Papilio demoleus,Papilionidae,99.99998807907104,2025-05-15 12:59:55,"Manila, Philippines",Common Lime6.jpg
Butterfly-Common Mormon,Papilio polytes,Papilionidae,99.20172691345216,2025-05-15 13:01:45,"Manila, Philippines",Common mormon_MALE+POLYTE14.jpg
Butterfly-Common Mormon,Papilio polytes,Papilionidae,99.21575784683228,2025-05-19 16:45:28,"Manila, Philippines",Common mormon_MALE+POLYTE12.jpg
Butterfly-Red Lacewing,Cethosia biblis,Nymphalidae,99.99983310699464,2025-05-19 16:47:35,"Manila, Philippines",461478884_8836799543017818_73042687346098194_n.jpg
Butterfly-Common Mime,Papilio clytia,Papilionidae,99.60346817970276,2025-05-19 16:49:53,"Manila, Philippines",461451199_3816438245341096_6908856910981033019_n.jpg
Butterfly-Common Jay,Graphium doson,Papilionidae,61.940306425094604,2025-05-19 17:12:58,"Manila, Philippines",Clippers Butterfly 10.jpg
Butterfly-Clippers,Parthenos sylvia,Nymphalidae,99.78567957878111,2025-05-20 08:57:22,"Manila, Philippines",Clippers Butterfly 9.jpg
Butterfly-Clippers,Parthenos sylvia,Nymphalidae,99.90181922912598,2025-05-20 10:50:11,"Manila, Philippines",Clippers Butterfly 7.jpg
Butterfly-Gray Glassy Tiger,Danaus chrysippus,Nymphalidae,82.11641311645508,2025-06-04 09:46:33,"Manila, Philippines",Butterfly_GreyGlassyTiger_452481792_8342969069048017_8913762373439576401_n.jpg
Butterfly-Common Mime,Papilio clytia,Papilionidae,61.58565282821655,2025-06-04 09:46:57,"Manila, Philippines",Emerald Swallowtail 8.jpg
Butterfly-Emerald Swallowtail,Papilio palinurus,Papilionidae,99.98291730880736,2025-06-04 09:47:09,"Manila, Philippines",Emerald Swallowtail 5.jpg
Butterfly-Emerald Swallowtail,Papilio palinurus,Papilionidae,99.99874830245972,2025-06-04 09:47:18,"Manila, Philippines",Emerald Swallowtail 6.jpg
Butterfly-Common Mime,Papilio clytia,Papilionidae,99.9449074268341,2025-06-04 09:47:30,"Manila, Philippines",Common Mime 1.jpeg
Butterfly-Common Mime,Papilio clytia,Papilionidae,99.98623132705688,2025-06-04 09:48:46,"Manila, Philippines",a-coorg-img_0037-common-mime.jpg
Butterfly-Common Mime,Papilio clytia,Papilionidae,99.9152421951294,2025-06-04 09:48:53,"Manila, Philippines",Common Mime - 2 - Nelson Ong.jpg
Butterfly-Common Jay,Graphium doson,Papilionidae,97.3886251449585,2025-06-04 09:49:17,"Manila, Philippines",Common Jay 10.jpg
Butterfly-Common Jay,Graphium doson,Papilionidae,97.3886251449585,2025-06-04 09:49:25,"Manila, Philippines",Common Jay 10.jpg
Butterfly-Common Jay,Graphium doson,Papilionidae,54.00566458702088,2025-06-04 09:49:34,"Manila, Philippines",Common Jay 2.jpg
Butterfly-Clippers,Parthenos sylvia,Nymphalidae,99.78567957878111,2025-06-04 09:49:46,"Manila, Philippines",Clippers Butterfly 9.jpg
Butterfly-Common Jay,Graphium doson,Papilionidae,61.940306425094604,2025-06-04 09:49:52,"Manila, Philippines",Clippers Butterfly 10.jpg
Butterfly-Clippers,Parthenos sylvia,Nymphalidae,99.93583559989928,2025-06-04 09:50:05,"Manila, Philippines",Clippers Butterfly 8.jpg
Butterfly-Golden Birdwing,Troides aeacus,Papilionidae,96.22926115989684,2025-06-04 09:50:25,"Manila, Philippines",Golden Birdwing_MALE 10.jpg
Butterfly-Golden Birdwing,Troides aeacus,Papilionidae,99.99709129333496,2025-06-04 09:50:38,"Manila, Philippines",Golden Birdwing_MALE 25.jpg
Butterfly-Golden Birdwing,Troides aeacus,Papilionidae,99.5197594165802,2025-06-04 09:50:51,"Manila, Philippines",Golden Birdwing_MALE 13.jpg
Butterfly-Golden Birdwing,Troides aeacus,Papilionidae,99.5730459690094,2025-06-04 09:51:01,"Manila, Philippines",Golden Birdwing_MALE 29.jpg
Butterfly-Common Mormon,Papilio polytes,Papilionidae,97.40796089172365,2025-06-04 09:51:18,"Manila, Philippines",Common Mormon_MALE 10.jpg
Butterfly-Common Mormon,Papilio polytes,Papilionidae,98.73907566070557,2025-06-04 09:51:24,"Manila, Philippines",Common Mormon_MALE 6.jpg
Butterfly-Common Mormon,Papilio polytes,Papilionidae,97.18057513237,2025-06-04 09:51:37,"Manila, Philippines",Common Mormon_MALE 25.jpg
Butterfly-Common Mime,Papilio clytia,Papilionidae,99.91758465766908,2025-06-04 09:51:48,"Manila, Philippines",449121412_484288060938817_4108666721494838517_n.jpg
Butterfly-Common Lime,Papilio demoleus,Papilionidae,99.98401403427124,2025-06-04 09:51:55,"Manila, Philippines",Common Lime8.jpg
Butterfly-Common Lime,Papilio demoleus,Papilionidae,99.99805688858032,2025-06-04 09:52:04,"Manila, Philippines",Common Lime27.jpg
Butterfly-Common Lime,Papilio demoleus,Papilionidae,99.94489550590517,2025-06-04 09:52:09,"Manila, Philippines",Common Lime5.jpg
Butterfly-Great Eggfly,Hypolimnas bolina,Nymphalidae,99.18954968452454,2025-06-04 09:52:30,"Manila, Philippines",Great Eggfly 9.jpg
Butterfly-Great Eggfly,Hypolimnas bolina,Nymphalidae,89.22913074493408,2025-06-04 09:52:40,"Manila, Philippines",Great Eggfly 10.jpg
Butterfly-Great Eggfly,Hypolimnas bolina,Nymphalidae,92.2472894191742,2025-06-04 09:52:54,"Manila, Philippines",Great Eggfly 25.jpg
Butterfly-Great Eggfly,Hypolimnas bolina,Nymphalidae,92.2472894191742,2025-06-04 09:53:02,"Manila, Philippines",Great Eggfly 25.jpg
Butterfly-Paper Kite,Idea leuconoe,Nymphalidae,97.8809654712677,2025-06-04 09:53:24,"Manila, Philippines",Paperkite Butterfly 8.jpg
Butterfly-Paper Kite,Idea leuconoe,Nymphalidae,97.89217114448547,2025-06-04 09:53:31,"Manila, Philippines",Paperkite Butterfly 9.jpg
Butterfly-Paper Kite,Idea leuconoe,Nymphalidae,95.4568862915039,2025-06-04 09:53:40,"Manila, Philippines",Paperkite Butterfly 5.jpg
Butterfly-Pink Rose,Pachliopta aristolochiae,Papilionidae,99.33859705924988,2025-06-04 09:54:04,"Manila, Philippines",Pink Rose 15.jpeg
Butterfly-Pink Rose,Pachliopta aristolochiae,Papilionidae,98.40351343154909,2025-06-04 09:54:15,"Manila, Philippines",Pink Rose 23.jpeg
Butterfly-Pink Rose,Pachliopta aristolochiae,Papilionidae,99.54042434692384,2025-06-04 09:54:26,"Manila, Philippines",Pink Rose 28.jpeg
Butterfly-Pink Rose,Pachliopta aristolochiae,Papilionidae,98.38197827339172,2025-06-04 09:54:38,"Manila, Philippines",Pink Rose 24.jpeg
Butterfly-Plain Tiger,Danaus chrysippus,Nymphalidae,99.94250535964966,2025-06-04 09:58:30,"Manila, Philippines",Plain Tiger 9.jpg
Butterfly-Plain Tiger,Danaus chrysippus,Nymphalidae,99.93751645088196,2025-06-04 09:58:36,"Manila, Philippines",Plain Tiger 10.jpg
Butterfly-Plain Tiger,Danaus chrysippus,Nymphalidae,99.77473616600037,2025-06-04 09:58:56,"Manila, Philippines",Plain Tiger 26.jpg
Butterfly-Plain Tiger,Danaus chrysippus,Nymphalidae,99.92338418960573,2025-06-04 09:59:07,"Manila, Philippines",Plain Tiger 24.jpg
Butterfly-Red Lacewing,Cethosia biblis,Nymphalidae,99.99021291732788,2025-06-04 09:59:27,"Manila, Philippines",IMG_20250419_173347.jpg
Butterfly-Red Lacewing,Cethosia biblis,Nymphalidae,99.9951958656311,2025-06-04 09:59:38,"Manila, Philippines",Red Lacewing  13.jpg
Butterfly-Red Lacewing,Cethosia biblis,Nymphalidae,99.99924898147584,2025-06-04 09:59:47,"Manila, Philippines",IMG_20250420_083126.jpg
Butterfly-Red Lacewing,Cethosia biblis,Nymphalidae,99.79019165039062,2025-06-04 09:59:56,"Manila, Philippines",Red Lacewing  16.jpg
Butterfly-Red Lacewing,Cethosia biblis,Nymphalidae,100.0,2025-06-04 10:00:06,"Manila, Philippines",Red Lacewing  26.jpg
Butterfly-Red Lacewing,Cethosia biblis,Nymphalidae,99.87837672233582,2025-06-04 10:00:17,"Manila, Philippines",Red Lacewing  25.jpg
Butterfly-Scarlet Mormon,Papilio rumanzovia,Papilionidae,93.93656849861144,2025-06-04 10:00:44,"Manila, Philippines",Scarlet Mormon 24.jpg
Butterfly-Common Mime,Papilio clytia,Papilionidae,41.895848512649536,2025-06-04 10:00:52,"Manila, Philippines",Scarlet Mormon 16.jpg
Butterfly-Scarlet Mormon,Papilio rumanzovia,Papilionidae,95.5579936504364,2025-06-04 10:01:04,"Manila, Philippines",Scarlet Mormon 6.jpg
Butterfly-Scarlet Mormon,Papilio rumanzovia,Papilionidae,98.24997186660768,2025-06-04 10:01:14,"Manila, Philippines",Scarlet Mormon 22.jpg
Butterfly-Scarlet Mormon,Papilio rumanzovia,Papilionidae,74.46008324623108,2025-06-04 10:01:27,"Manila, Philippines",Scarlet Mormon 17.jpg
Butterfly-Scarlet Mormon,Papilio rumanzovia,Papilionidae,95.5579936504364,2025-06-04 10:02:17,"Manila, Philippines",Scarlet Mormon 6.jpg
Butterfly-Tailed Jay,Graphium agamemnon,Papilionidae,99.09552931785583,2025-06-04 10:05:35,"Manila, Philippines",Tailed Jay 5.jpg
Butterfly-Tailed Jay,Graphium agamemnon,Papilionidae,99.93396401405334,2025-06-04 10:05:43,"Manila, Philippines",Tailed Jay 10.jpg
Butterfly-Tailed Jay,Graphium agamemnon,Papilionidae,99.89445805549622,2025-06-04 10:05:52,"Manila, Philippines",Tailed Jay 29.jpg
Butterfly-Tailed Jay,Graphium agamemnon,Papilionidae,99.93749260902403,2025-06-04 10:06:02,"Manila, Philippines",Tailed Jay 28.jpg
Butterfly-Tailed Jay,Graphium agamemnon,Papilionidae,97.87527322769165,2025-06-04 10:06:11,"Manila, Philippines",Tailed Jay 27.jpg
